common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,fr,order,family,genus,species,habitat,log_Mb,log_fr,breath_rate,temp,location
White rhinoceros,Namakula,F,2150,16,2.5,1,Kolmarden,26,2150,6.4,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.332,0.806,6.397348355,14.8,air
Beluga,YULKA,F,864.83,14,10,1,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,15.1,water
Beluga,YULKA,F,864.83,14,10,2,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,15.0,water
Beluga,YULKA,F,864.83,14,10,2,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,19.0,water
Beluga,YULKA,F,864.83,14,10,1,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,19.0,water
Beluga,YULKA,F,864.83,14,10,3,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,18.0,water
Beluga,YULKA,F,864.83,14,10,3,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,18.0,water
Beluga,YULKA,F,864.83,14,10,1,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,16.0,water
Beluga,YULKA,F,864.83,14,10,2,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,16.0,water
Beluga,YULKA,F,864.83,14,10,3,Oceanografic,33,864.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,16.0,water
Beluga,YULKA,F,865.83,14,10,3,Oceanografic,33,865.83,1.4,Artiodactyla,Monodontidae,Delphinapterus,leucas,aquatic,2.937,0.146,1.399587323,16.0,water
Asiatisk elephant,Bua,F,3950,29,3,1,Kolmarden,26,3950,9.7,Proboscidea,Elephantidae,Elephas,maximus,terrestrial,3.597,0.985,9.66050879,18.0,air
Asiatisk elephant,Bua,F,3950,27,3.25,1,Kolmarden,26,3950,8.3,Proboscidea,Elephantidae,Elephas,maximus,terrestrial,3.597,0.919,8.298507675,17.7,air
Asiatisk elephant,Bua,F,3950,27,5,1,Kolmarden,26,3950,5.4,Proboscidea,Elephantidae,Elephas,maximus,terrestrial,3.597,0.732,5.395106225,17.7,air
Asiatisk elephant,Saonoi,F,3340,43,6,1,Kolmarden,27,3340,7.2,Proboscidea,Elephantidae,Elephas,maximus,terrestrial,3.524,0.855,7.161434102,18.0,air
